Disease ID	Name	Mnemonic	Description
DI-04365	3-methylglutaconic aciduria with cataracts, neurologic involvement and neutropenia	MEGCANN	An autosomal recessive inborn error of metabolism with a highly variable phenotype. Primary disease symptoms are increased levels of 3-methylglutaconic acid, neurologic deterioration and neutropenia. Other common features include progressive encephalopathy, movement abnormalities, delayed psychomotor development, cataracts, seizures, and recurrent infections.
DI-03495	3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome	MEGDEL	An autosomal recessive disorder characterized by childhood onset of delayed psychomotor development or psychomotor regression, sensorineural deafness, spasticity or dystonia, and increased excretion of 3-methylglutaconic acid. Brain imaging shows cerebral and cerebellar atrophy as well as lesions in the basal ganglia reminiscent of Leigh syndrome. Laboratory studies show increased serum lactate and alanine, mitochondrial oxidative phosphorylation defects, abnormal mitochondria, abnormal phosphatidylglycerol and cardiolipin profiles in fibroblasts, and abnormal accumulation of unesterified cholesterol within cells.
DI-02395	46,XX sex reversal 1	SRXX1	A condition in which male gonads develop in a genetic female (female to male sex reversal).
DI-03053	46,XX sex reversal 2	SRXX2	A condition in which male gonads develop in a genetic female (female to male sex reversal).
DI-03008	46,XX sex reversal 3	SRXX3	A condition in which male gonads develop in a genetic female (female to male sex reversal).
DI-01613	46,XX sex reversal with dysgenesis of kidneys, adrenals, and lungs	SERKAL	A disease characterized by the association of female-to-male sex reversal with dysgenesis of kidneys, adrenals, and lungs.
DI-01682	46,XY sex reversal 1	SRXY1	A condition characterized by male-to-female sex reversal in the presence of a normal 46,XY karyotype. Patients manifest rapid and early degeneration of their gonads, which are present in the adult as 'streak gonads', consisting mainly of fibrous tissue and variable amounts of ovarian stroma. As a result these patients do not develop secondary sexual characteristics at puberty. The external genitalia in these subjects are completely female, and Muellerian structures are normal.
DI-04458	46,XY sex reversal 10	SRXY10	A disorder of sex development. Affected individuals have a 46,XY karyotype, show gonadal dysgenesis with streak gonads, look like normal females at birth, do not develop secondary sexual characteristics at puberty and do not menstruate.
DI-02751	46,XY sex reversal 2	SRXY2	A condition characterized by male-to-female sex reversal in the presence of a normal 46,XY karyotype.
DI-02465	46,XY sex reversal 3	SRXY3	A condition characterized by male-to-female sex reversal in the presence of a normal 46,XY karyotype.
DI-03328	46,XY sex reversal 4	SRXY4	A condition characterized by male-to-female sex reversal in the presence of a normal 46,XY karyotype. Patients display complete or partial gonadal dysgenesis and a chromosome 9p deletion.
DI-02807	46,XY sex reversal 5	SRXY5	A disorder of sex development. Affected individuals have a 46,XY karyotype but present as phenotypically normal females.
DI-03052	46,XY sex reversal 6	SRXY6	A disorder of sex development. Affected individuals have a 46,XY karyotype but present as phenotypically normal females.
DI-01379	46,XY sex reversal 7	SRXY7	A disorder of sex development. Affected individuals have a 46,XY karyotype but present as phenotypically normal females. SRXY7 patients have no functional gonads.
DI-03279	46,XY sex reversal 8	SRXY8	A disorder of sex development. Affected individuals have a 46,XY karyotype but present as phenotypically normal females.
DI-04251	46,XY sex reversal 9	SRXY9	A disorder of sex development. Affected individuals have a 46,XY karyotype but present as phenotypically normal females or have ambiguous external genitalia.
DI-03412	5-oxoprolinase deficiency	OPLAHD	A disorder characterized by calcium oxalate/carbonate urolithiasis, and excessive urinary 5-oxo-L-proline. Affected individuals have recurrent episodes of vomiting, diarrhea, and abdominal pain.
DI-01163	Aaland island eye disease	AIED	A retinal disease characterized by a combination of fundus hypopigmentation, decreased visual acuity due to foveal hypoplasia, nystagmus, astigmatism, protan color vision defect, myopia, and defective dark adaptation. Except for progression of axial myopia, the disease can be considered to be a stationary condition. Electroretinography reveals abnormalities in both photopic and scotopic functions.
DI-00012	Aarskog-Scott syndrome	AAS	A rare multisystemic disorder characterized by disproportionately short stature, and by facial, skeletal and urogenital anomalies. Some patients manifest mental retardation, attention deficit disorder and hyperactivity.
DI-00013	ABCD syndrome	ABCDS	An autosomal recessive syndrome characterized by albinism, black lock at temporal occipital region, bilateral deafness, aganglionosis of the large intestine and total absence of neurocytes and nerve fibers in the small intestine.
DI-04090	Abdominal obesity-metabolic syndrome 3	AOMS3	A form of abdominal obesity-metabolic syndrome, a disorder characterized by abdominal obesity, high triglycerides, low levels of high density lipoprotein cholesterol, high blood pressure, and elevated fasting glucose levels. AOMS3 is characterized by early-onset coronary artery disease, central obesity, hypertension, and diabetes.
DI-00014	Abetalipoproteinemia	ABL	An autosomal recessive disorder of lipoprotein metabolism. Affected individuals produce virtually no circulating apolipoprotein B-containing lipoproteins (chylomicrons, VLDL, LDL, lipoprotein(A)). Malabsorption of the antioxidant vitamin E occurs, leading to spinocerebellar and retinal degeneration.
DI-04542	Ablepharon-macrostomia syndrome	AMS	A congenital ectodermal dysplasia characterized by absent eyelids, macrostomia, microtia, redundant skin, sparse hair, dysmorphic nose and ears, variable abnormalities of the nipples, genitalia, fingers, and hands, largely normal intellectual and motor development, and poor growth.
DI-00015	Abnormal thyroid hormone metabolism	ATHYHM	A disorder associated with a reduction in type II iodothyronine deiodinase activity.
DI-03763	Abruzzo-Erickson syndrome	ABERS	A disease characterized by cleft palate, coloboma, hypospadias, deafness, short stature, and radial synostosis.
DI-00016	Acatalasemia	ACATLAS	A metabolic disorder characterized by a total or near total loss of catalase activity in red cells. It is often associated with ulcerating oral lesions.
DI-00017	Aceruloplasminemia	ACERULOP	An autosomal recessive disorder of iron metabolism characterized by iron accumulation in the brain as well as visceral organs. Clinical features consist of the triad of retinal degeneration, diabetes mellitus and neurological disturbances.
DI-01164	Acetyl-CoA carboxylase 1 deficiency	ACACAD	An inborn error of de novo fatty acid synthesis associated with severe brain damage, persistent myopathy and poor growth.
DI-00018	Achalasia-addisonianism-alacrima syndrome	AAAS	An autosomal recessive disorder characterized by adreno-corticotropic hormone (ACTH)-resistant adrenal failure, achalasia of the esophageal cardia and alacrima. The syndrome is associated with variable and progressive neurological impairment involving the central, peripheral, and autonomic nervous system. Other features such as palmoplantar hyperkeratosis, short stature, facial dysmorphy and osteoporosis may also be present.
DI-01165	Acheiropody	ACHP	Very rare condition characterized by bilateral congenital amputations of the hands and feet. The specific malformative phenotype consists of a complete amputation of the distal epiphysis of the humerus, amputation of the tibial diaphysis and aplasia of the radius, ulna, fibula and of all the bones of the hands and feet.
DI-02719	Achondrogenesis 1A	ACG1A	A form of achondrogenesis type 1, a lethal form of chondrodysplasia characterized by deficient ossification in the lumbar vertebrae and absent ossification in the sacral, pubic and ischial bones and clinically by stillbirth or early death. In addition to severe micromelia, there is a disproportionately large cranium due to marked edema of soft tissues.
DI-00019	Achondrogenesis 1B	ACG1B	A form of achondrogenesis type 1, a lethal form of chondrodysplasia characterized by deficient ossification in the lumbar vertebrae and absent ossification in the sacral, pubic and ischial bones and clinically by stillbirth or early death. In addition to severe micromelia, there is a disproportionately large cranium due to marked edema of soft tissues.
DI-00020	Achondrogenesis 2	ACG2	A disease characterized by the absence of ossification in the vertebral column, sacrum and pubic bones.
DI-00021	Achondroplasia	ACH	A frequent form of short-limb dwarfism. It is characterized by a long, narrow trunk, short extremities, particularly in the proximal (rhizomelic) segments, a large head with frontal bossing, hypoplasia of the midface and a trident configuration of the hands.
DI-04490	Achondroplasia, severe, with developmental delay and acanthosis nigricans	SADDAN	A severe form of achondroplasia associated with developmental delay and acanthosis nigricans. Patients manifest short-limb dwarfism, with a long, narrow trunk, short extremities, particularly in the proximal (rhizomelic) segments, a large head with frontal bossing, hypoplasia of the midface and a trident configuration of the hands. Acanthosis nigricans is a skin condition characterized by brown-pigmented, velvety verrucosities in body folds and creases.
DI-00022	Achromatopsia 2	ACHM2	An ocular stationary disorder due to the absence of functioning cone photoreceptors in the retina. It is characterized by total colorblindness, low visual acuity, photophobia and nystagmus.
DI-00023	Achromatopsia 3	ACHM3	An ocular stationary disorder due to the absence of functioning cone photoreceptors in the retina. It is characterized by total colorblindness, low visual acuity, photophobia and nystagmus. Achromatopsia type 3 patients manifest severe myopia.
DI-01166	Achromatopsia 4	ACHM4	An ocular stationary disorder due to the absence of functioning cone photoreceptors in the retina. It is characterized by total colorblindness, low visual acuity, photophobia and nystagmus.
DI-04499	Achromatopsia 7	ACHM7	A form of achromatopsia, an ocular stationary disorder due to the absence of functioning cone photoreceptors in the retina. It is characterized by total colorblindness, low visual acuity, photophobia and nystagmus.
DI-04198	Acid-labile subunit deficiency	ACLSD	A disorder characterized by severely reduced serum IGF-I and IGFBP-3 concentrations and mild growth retardation. Pubertal delay in boys and insulin insensitivity are common findings.
DI-02995	Acne inversa, familial, 1	ACNINV1	A chronic relapsing inflammatory disease of the hair follicles characterized by recurrent draining sinuses, painful skin abscesses, and disfiguring scars. Manifestations typically appear after puberty.
DI-02996	Acne inversa, familial, 2	ACNINV2	A chronic relapsing inflammatory disease of the hair follicles characterized by recurrent draining sinuses, painful skin abscesses, and disfiguring scars. Manifestations typically appear after puberty.
DI-02997	Acne inversa, familial, 3	ACNINV3	A chronic relapsing inflammatory disease of the hair follicles characterized by recurrent draining sinuses, painful skin abscesses, and disfiguring scars. Manifestations typically appear after puberty.
DI-00025	Acrocallosal syndrome	ACLS	A syndrome characterized by hypogenesis or agenesis of the corpus callosum. Clinical features include postaxial polydactyly, hallux duplication, macrocephaly, craniofacial abnormalities, severe developmental delay and mental retardation.
DI-00026	Acrocapitofemoral dysplasia	ACFD	A disorder characterized by short stature of variable severity with postnatal onset. The most constant radiographic abnormalities are observed in the tubular bones of the hands and in the proximal part of the femur. Cone-shaped epiphyses or a similar epiphyseal configuration with premature epimetaphyseal fusion result in shortening of the skeletal components involved. Cone-shaped epiphyses are also present to a variable extent at the shoulders, knees and ankles.
DI-00027	Acrodermatitis enteropathica, zinc-deficiency type	AEZ	A rare autosomal recessive disease caused by the inability to absorb sufficient zinc. The clinical features are growth retardation, immune-system dysfunction, alopecia, severe dermatitis, diarrhea and occasionally mental disorders.
DI-00028	Acro-dermato-ungual-lacrimal-tooth syndrome	ADULT syndrome	A form of ectodermal dysplasia. Ectodermal dysplasia defines a heterogeneous group of disorders due to abnormal development of two or more ectodermal structures. ADULT syndrome involves ectrodactyly, syndactyly, finger- and toenail dysplasia, hypoplastic breasts and nipples, intensive freckling, lacrimal duct atresia, frontal alopecia, primary hypodontia and loss of permanent teeth. ADULT syndrome differs significantly from EEC3 syndrome by the absence of facial clefting.
DI-03459	Acrodysostosis 1, with or without hormone resistance	ACRDYS1	A form of skeletal dysplasia characterized by short stature, severe brachydactyly, facial dysostosis, and nasal hypoplasia. Affected individuals often have advanced bone age and obesity. Laboratory studies show resistance to multiple hormones, including parathyroid, thyrotropin, calcitonin, growth hormone-releasing hormone, and gonadotropin. However, not all patients show endocrine abnormalities.
DI-03460	Acrodysostosis 2, with or without hormone resistance	ACRDYS2	A pleiotropic disorder characterized by skeletal, endocrine, and neurological abnormalities. Skeletal features include brachycephaly, midface hypoplasia with a small upturned nose, brachydactyly, and lumbar spinal stenosis. Endocrine abnormalities include hypothyroidism and hypogonadism in males and irregular menses in females. Developmental disability is a common finding but is variable in severity and can be associated with significant behavioral problems.
DI-03474	Acrofacial dysostosis 1, Nager type	AFD1	A form of acrofacial dysostosis, a group of disorders which are characterized by malformation of the craniofacial skeleton and the limbs. The major facial features of AFD1 include downslanted palpebral fissures, midface retrusion, and micrognathia, the latter of which often requires the placement of a tracheostomy in early childhood. Limb defects typically involve the anterior (radial) elements of the upper limbs and manifest as small or absent thumbs, triphalangeal thumbs, radial hyoplasia or aplasia, and radioulnar synostosis. Phocomelia of the upper limbs and, occasionally, lower-limb defects have also been reported.
DI-04483	Acrofacial dysostosis, Cincinnati type	AFDCIN	A form of acrofacial dysostosis, a group of disorders which are characterized by malformation of the craniofacial skeleton and, in some patients, the limbs.
DI-00029	Acrofacial dysostosis, Weyers type	WAD	An autosomal dominant condition characterized by dysplastic nails, postaxial polydactyly, dental anomalies, short limbs, short stature and normal intelligence. The phenotype is milder than Ellis-van Creveld syndrome.
DI-00030	Acrokeratosis verruciformis	AKV	A localized disorder of keratinization, which is inherited as an autosomal dominant trait. Its onset is early in life with multiple flat-topped, flesh-colored papules on the hands and feet, punctate keratoses on the palms and soles, with varying degrees of nail involvement. The histopathology shows a distinctive pattern of epidermal features with hyperkeratosis, hypergranulosis and acanthosis together with papillomatosis. These changes are frequently associated with circumscribed elevations of the epidermis that are said to resemble church spires. There are no features of dyskeratosis or acantholysis, the typical findings in lesions of Darier disease.
DI-04203	Acromelic frontonasal dysostosis	AFND	A rare variant form of frontonasal dysplasia, an array of abnormalities affecting the eyes, forehead and nose and linked to midfacial dysraphia. The clinical picture is highly variable. Major findings include true ocular hypertelorism, broadening of the nasal root, median facial cleft affecting the nose and/or upper lip and palate, unilateral or bilateral clefting of the alae nasi, lack of formation of the nasal tip, anterior cranium bifidum occultum, a V-shaped or widow's peak frontal hairline. AFND is characterized by the association of frontonasal malformations with various combinations of polydactyly, tibial hypoplasia, epibulbar dermoid, encephalocoele, corpus callosum agenesis and Dandy-Walker malformation.
DI-00031	Acromesomelic chondrodysplasia, Grebe type	AMDG	An autosomal recessive acromesomelic chondrodysplasia. Acromesomelic chondrodysplasias are rare hereditary skeletal disorders characterized by short stature, very short limbs and hand/foot malformations. The severity of limb abnormalities increases from proximal to distal with profoundly affected hands and feet showing brachydactyly and/or rudimentary fingers (knob-like fingers). AMDG is characterized by normal axial skeletons and missing or fused skeletal elements within the hands and feet.
DI-00032	Acromesomelic chondrodysplasia, Hunter-Thompson type	AMDH	An autosomal recessive form of dwarfism. Patients have limb abnormalities, with the middle and distal segments being most affected and the lower limbs more affected than the upper. AMDH is characterized by normal axial skeletons and missing or fused skeletal elements within the hands and feet.
DI-00033	Acromesomelic dysplasia, Demirhan type	AMDD	A form of chondrodysplasia. Acromesomelic chondrodysplasias are rare hereditary skeletal disorders characterized by short stature, very short limbs and hand/foot malformations. The severity of limb abnormalities increases from proximal to distal with profoundly affected hands and feet showing brachydactyly and/or rudimentary fingers (knob-like fingers).
DI-00034	Acromesomelic dysplasia, Maroteaux type	AMDM	An autosomal recessive acromesomelic chondrodysplasia. Acromesomelic chondrodysplasias are rare hereditary skeletal disorders characterized by short stature, very short limbs and hand/foot malformations. The severity of limb abnormalities increases from proximal to distal with profoundly affected hands and feet showing brachydactyly and/or rudimentary fingers (knob-like fingers). AMDM is characterized by axial skeletal involvement with wedging of vertebral bodies. In AMDM all skeletal elements are present but show abnormal rates of linear growth.
DI-03225	Acromicric dysplasia	ACMICD	An autosomal dominant disorder characterized by severe short stature, short hands and feet, joint limitations, and skin thickening. Radiologic features include delayed bone age, cone-shaped epiphyses, shortened long tubular bones, and ovoid vertebral bodies. Affected individuals have distinct facial features, including round face, well-defined eyebrows, long eyelashes, bulbous nose with anteverted nostrils, long and prominent philtrum, and thick lips with a small mouth. Other characteristic features include hoarse voice and pseudomuscular build, and there are distinct skeletal features as well, including an internal notch of the femoral head, internal notch of the second metacarpal, and external notch of the fifth metacarpal.
DI-00035	ACTH deficiency, isolated	IAD	A disorder that is characterized by adrenal insufficiency symptoms, such as weight loss, lack of appetite (anorexia), weakness, nausea, vomiting and low blood pressure (hypotension). The pituitary hormone ACTH is decreased or absent, and other cortisol and other steroid hormone levels in the blood are abnormally low.
DI-01167	ACTH-independent macronodular adrenal hyperplasia 1	AIMAH1	A rare adrenal defect characterized by multiple, bilateral, non-pigmented, benign, adrenocortical nodules. It results in excessive production of cortisol leading to ACTH-independent Cushing syndrome. Clinical manifestations of Cushing syndrome include facial and truncal obesity, abdominal striae, muscular weakness, osteoporosis, arterial hypertension, diabetes.
DI-04195	ACTH-independent macronodular adrenal hyperplasia 2	AIMAH2	A form of macronodular adrenal hyperplasia characterized by multiple, bilateral, non-pigmented, benign, adrenocortical nodules. It results in excessive production of cortisol leading to ACTH-independent Cushing syndrome. Clinical manifestations of Cushing syndrome include facial and truncal obesity, abdominal striae, muscular weakness, osteoporosis, arterial hypertension, diabetes.
DI-01168	ACTH-secreting pituitary adenoma	ASPA	A pituitary adenoma resulting in excessive production of adrenocorticotropic hormone. This leads to hypersecretion of cortisol by the adrenal glands and ACTH-dependent Cushing syndrome. Clinical manifestations of Cushing syndrome include facial and truncal obesity, abdominal striae, muscular weakness, osteoporosis, arterial hypertension, diabetes.
DI-03995	Activated PI3K-delta syndrome	APDS	A disorder characterized by recurrent respiratory infections, progressive airway damage, lymphopenia, increased circulating transitional B cells, increased immunoglobulin M, reduced immunoglobulin G2 levels in serum, and impaired vaccine responses.
DI-00036	Acute hepatic porphyria	AHEPP	A form of porphyria. Porphyrias are inherited defects in the biosynthesis of heme, resulting in the accumulation and increased excretion of porphyrins or porphyrin precursors. They are classified as erythropoietic or hepatic, depending on whether the enzyme deficiency occurs in red blood cells or in the liver. AHP is characterized by attacks of gastrointestinal disturbances, abdominal colic, paralyses and peripheral neuropathy. Most attacks are precipitated by drugs, alcohol, caloric deprivation, infections, or endocrine factors.
DI-00037	Acute intermittent porphyria	AIP	A form of porphyria. Porphyrias are inherited defects in the biosynthesis of heme, resulting in the accumulation and increased excretion of porphyrins or porphyrin precursors. They are classified as erythropoietic or hepatic, depending on whether the enzyme deficiency occurs in red blood cells or in the liver. AIP is an autosomal dominant form of hepatic porphyria characterized by attacks of gastrointestinal disturbances, abdominal colic, with neurological dysfunctions, hypertension, tachycardia and peripheral neuropathy. Most attacks are precipitated by drugs, alcohol, caloric deprivation, infections, or endocrine factors.
DI-01173	Acyl-CoA dehydrogenase family, member 9, deficiency	ACAD9 deficiency	An autosomal recessive metabolic disorder associated with mitochondrial complex I deficiency, resulting in multisystemic and variable manifestations. Clinical features include infantile onset of acute metabolic acidosis, Reye-like episodes (brain edema and vomiting that may rapidly progress to seizures, coma and death), exercise intolerance, hypertrophic cardiomyopathy, liver failure, muscle weakness, and neurologic dysfunction.
DI-01956	Acyl-CoA dehydrogenase medium-chain deficiency	ACADMD	An inborn error of mitochondrial fatty acid beta-oxidation which causes fasting hypoglycemia, hepatic dysfunction and encephalopathy, often resulting in death in infancy.
DI-02301	Acyl-CoA dehydrogenase short-chain deficiency	ACADSD	An inborn error of mitochondrial fatty acid beta-oxidation resulting in acute acidosis and muscle weakness in infants, and a form of lipid-storage myopathy in adults.
DI-02411	Acyl-CoA dehydrogenase very long-chain deficiency	ACADVLD	An inborn error of mitochondrial fatty acid beta-oxidation which leads to impaired long-chain fatty acid beta-oxidation. It is clinically heterogeneous, with three major phenotypes: a severe childhood form characterized by early onset, high mortality and high incidence of cardiomyopathy; a milder childhood form with later onset, characterized by hypoketotic hypoglycemia, low mortality and rare cardiomyopathy; an adult form, with isolated skeletal muscle involvement, rhabdomyolysis and myoglobinuria, usually triggered by exercise or fasting.
DI-03194	Adams-Oliver syndrome 1	AOS1	A disorder characterized by the congenital absence of skin (aplasia cutis congenita) in combination with transverse limb defects. Aplasia cutis congenita can be located anywhere on the body, but in the vast majority of the cases, it is present on the posterior parietal region where it is often associated with an underlying defect of the parietal bones. Limb abnormalities are typically limb truncation defects affecting the distal phalanges or entire digits (true ectrodactyly). Only rarely, metatarsals/metacarpals or more proximal limb structures are also affected. Apart from transverse limb defects, syndactyly, most commonly of second and third toes, can also be observed. The clinical features are highly variable and can also include cardiovascular malformations, brain abnormalities and vascular defects such as cutis marmorata and dilated scalp veins.
DI-03223	Adams-Oliver syndrome 2	AOS2	A disorder characterized by the congenital absence of skin (aplasia cutis congenita) in combination with transverse limb defects. Aplasia cutis congenita can be located anywhere on the body, but in the vast majority of the cases, it is present on the posterior parietal region where it is often associated with an underlying defect of the parietal bones. Limb abnormalities are typically limb truncation defects affecting the distal phalanges or entire digits (true ectrodactyly). Only rarely, metatarsals/metacarpals or more proximal limb structures are also affected. Apart from transverse limb defects, syndactyly, most commonly of second and third toes, can also be observed. The clinical features are highly variable and can also include cardiovascular malformations, brain abnormalities and vascular defects such as cutis marmorata and dilated scalp veins.
DI-03522	Adams-Oliver syndrome 3	AOS3	An autosomal dominant form of Adams-Oliver syndrome, a disorder characterized by the congenital absence of skin (aplasia cutis congenita) in combination with transverse limb defects. Aplasia cutis congenita can be located anywhere on the body, but in the vast majority of the cases, it is present on the posterior parietal region where it is often associated with an underlying defect of the parietal bones. Limb abnormalities are typically limb truncation defects affecting the distal phalanges or entire digits (true ectrodactyly). Only rarely, metatarsals/metacarpals or more proximal limb structures are also affected. Apart from transverse limb defects, syndactyly, most commonly of second and third toes, can also be observed. The clinical features are highly variable and can also include cardiovascular malformations, brain abnormalities and vascular defects such as cutis marmorata and dilated scalp veins. AOS3 patients manifest characteristic vertex scalp defects and terminal limb defects, but without congenital heart defects, other associated defects, or immune defects.
DI-03817	Adams-Oliver syndrome 4	AOS4	A form of Adams-Oliver syndrome, a disorder characterized by the congenital absence of skin (aplasia cutis congenita) in combination with transverse limb defects. Aplasia cutis congenita can be located anywhere on the body, but in the vast majority of the cases, it is present on the posterior parietal region where it is often associated with an underlying defect of the parietal bones. Limb abnormalities are typically limb truncation defects affecting the distal phalanges or entire digits (true ectrodactyly). Only rarely, metatarsals/metacarpals or more proximal limb structures are also affected. Apart from transverse limb defects, syndactyly, most commonly of second and third toes, can also be observed. The clinical features are highly variable and can also include cardiovascular malformations, brain abnormalities and vascular defects such as cutis marmorata and dilated scalp veins.
DI-04227	Adams-Oliver syndrome 5	AOS5	A form of Adams-Oliver syndrome, a disorder characterized by the congenital absence of skin (aplasia cutis congenita) in combination with transverse limb defects. Aplasia cutis congenita can be located anywhere on the body, but in the vast majority of the cases, it is present on the posterior parietal region where it is often associated with an underlying defect of the parietal bones. Limb abnormalities are typically limb truncation defects affecting the distal phalanges or entire digits (true ectrodactyly). Only rarely, metatarsals/metacarpals or more proximal limb structures are also affected. Apart from transverse limb defects, syndactyly, most commonly of second and third toes, can also be observed. The clinical features are highly variable and can also include cardiovascular malformations, brain abnormalities and vascular defects such as cutis marmorata and dilated scalp veins.
